Age,Gender,Income,Education,Occupation
25,Male,0,11th,Machine-op-inspct
38,Male,0,HS-grad,Farming-fishing
28,Male,1,Assoc-acdm,Protective-serv
44,Male,1,Some-college,Machine-op-inspct
18,Female,0,Some-college,nan
34,Male,0,10th,Other-service
29,Male,0,HS-grad,nan
63,Male,1,Prof-school,Prof-specialty
24,Female,0,Some-college,Other-service
55,Male,0,7th-8th,Craft-repair
65,Male,1,HS-grad,Machine-op-inspct
36,Male,0,Bachelors,Adm-clerical
26,Female,0,HS-grad,Adm-clerical
58,Male,0,HS-grad,nan
48,Male,1,HS-grad,Machine-op-inspct
43,Male,1,Masters,Exec-managerial
20,Male,0,Some-college,Other-service
43,Female,0,HS-grad,Adm-clerical
37,Female,0,HS-grad,Machine-op-inspct
40,Male,1,Doctorate,Prof-specialty
34,Male,1,Bachelors,Tech-support
34,Female,0,Some-college,Other-service
72,Female,0,7th-8th,nan
25,Male,0,Bachelors,Prof-specialty
25,Male,0,Bachelors,Prof-specialty
45,Male,1,HS-grad,Craft-repair
22,Male,0,HS-grad,Adm-clerical
23,Male,0,HS-grad,Machine-op-inspct
54,Male,0,HS-grad,Craft-repair
32,Male,0,Some-college,Prof-specialty
46,Male,1,Some-college,Exec-managerial
56,Female,0,11th,Other-service
24,Male,0,Bachelors,Sales
23,Male,0,Some-college,Protective-serv
26,Female,0,HS-grad,Exec-managerial
65,Male,0,HS-grad,nan
36,Male,1,Bachelors,Prof-specialty
22,Male,0,5th-6th,Priv-house-serv
17,Male,0,10th,Machine-op-inspct
20,Male,0,HS-grad,Craft-repair
65,Male,1,Masters,Prof-specialty
44,Male,1,Assoc-voc,Sales
36,Male,0,HS-grad,Farming-fishing
29,Male,0,11th,Other-service
20,Male,0,Some-college,Farming-fishing
28,Female,1,Assoc-voc,Prof-specialty
39,Male,0,7th-8th,Craft-repair
54,Male,0,Some-college,Transport-moving
52,Female,0,11th,Priv-house-serv
56,Female,0,HS-grad,Exec-managerial
18,Male,0,Some-college,Other-service
39,Male,0,HS-grad,Handlers-cleaners
21,Female,0,Some-college,Other-service
22,Male,1,HS-grad,Other-service
38,Male,0,9th,Exec-managerial
21,Female,0,Some-college,Adm-clerical
63,Male,0,HS-grad,Craft-repair
34,Male,1,Bachelors,Exec-managerial
42,Male,1,HS-grad,Exec-managerial
33,Male,0,HS-grad,Handlers-cleaners
30,Female,0,Bachelors,Exec-managerial
39,Male,0,Some-college,Sales
26,Female,0,Masters,Exec-managerial
33,Female,0,HS-grad,Machine-op-inspct
47,Female,0,HS-grad,Adm-clerical
41,Female,0,Bachelors,Other-service
41,Male,1,Assoc-acdm,Craft-repair
19,Male,0,Some-college,Other-service
46,Male,0,HS-grad,Transport-moving
43,Male,0,HS-grad,Sales
55,Male,1,Some-college,Exec-managerial
46,Male,0,Assoc-voc,Tech-support
30,Male,0,HS-grad,Machine-op-inspct
21,Female,0,Some-college,Handlers-cleaners
46,Male,0,Some-college,Craft-repair
17,Male,0,10th,nan
41,Male,0,HS-grad,Machine-op-inspct
69,Male,0,HS-grad,Sales
50,Male,0,HS-grad,Transport-moving
20,Female,0,Some-college,Adm-clerical
45,Male,0,Some-college,Machine-op-inspct
23,Male,0,Bachelors,Exec-managerial
24,Male,0,Some-college,Other-service
44,Male,1,HS-grad,Craft-repair
31,Male,0,Some-college,Craft-repair
43,Female,0,HS-grad,Machine-op-inspct
20,Female,0,11th,Other-service
55,Male,1,HS-grad,Sales
24,Male,0,Some-college,Armed-Forces
41,Female,1,Masters,nan
59,Female,0,Bachelors,Exec-managerial
49,Male,0,7th-8th,Other-service
33,Female,1,Masters,Prof-specialty
