Age,Gender,Income,Education,Occupation
47,Male,0,Bachelors,Protective-serv
28,Male,0,Bachelors,Sales
38,Male,1,Bachelors,Craft-repair
37,Female,0,Bachelors,Prof-specialty
34,Male,0,HS-grad,Craft-repair
57,Male,0,HS-grad,Farming-fishing
26,Male,0,Masters,Prof-specialty
41,Male,0,HS-grad,Other-service
29,Male,0,Bachelors,Craft-repair
34,Male,0,HS-grad,Exec-managerial
32,Male,0,HS-grad,Craft-repair
18,Female,0,12th,Adm-clerical
53,Female,0,Some-college,Sales
33,Male,0,Some-college,Exec-managerial
24,Male,1,Some-college,Protective-serv
25,Male,0,Some-college,Sales
35,Male,1,Bachelors,Exec-managerial
49,Female,0,HS-grad,Exec-managerial
48,Male,1,Some-college,Craft-repair
60,Male,0,HS-grad,Protective-serv
45,Male,0,Some-college,Handlers-cleaners
47,Male,1,Some-college,Craft-repair
37,Male,0,Doctorate,Prof-specialty
34,Male,1,Some-college,Exec-managerial
49,Male,0,Prof-school,Prof-specialty
47,Female,0,HS-grad,Other-service
37,Male,0,HS-grad,Transport-moving
29,Female,0,HS-grad,Exec-managerial
22,Male,0,HS-grad,Handlers-cleaners
29,Male,0,HS-grad,Adm-clerical
42,Female,1,Some-college,Machine-op-inspct
62,Male,0,5th-6th,Farming-fishing
48,Male,1,Assoc-acdm,Craft-repair
59,Male,1,HS-grad,Exec-managerial
51,Male,1,Some-college,Craft-repair
44,Female,0,Assoc-acdm,Machine-op-inspct
63,Female,0,Some-college,Sales
38,Male,1,HS-grad,Exec-managerial
25,Male,0,HS-grad,Handlers-cleaners
39,Male,1,Bachelors,Exec-managerial
41,Male,0,Assoc-acdm,Farming-fishing
46,Female,0,Some-college,Handlers-cleaners
28,Male,0,HS-grad,Craft-repair
20,Female,0,Some-college,Sales
45,Male,1,Bachelors,Prof-specialty
48,Female,0,Some-college,Adm-clerical
33,Male,0,Masters,Protective-serv
90,Male,0,HS-grad,Craft-repair
49,Male,0,HS-grad,Craft-repair
63,Male,1,HS-grad,Other-service
41,Male,1,Masters,Prof-specialty
32,Male,1,Doctorate,Prof-specialty
51,Female,0,HS-grad,Other-service
45,Male,1,Some-college,Protective-serv
29,Male,0,Assoc-voc,Craft-repair
42,Male,1,Bachelors,Prof-specialty
30,Male,0,Some-college,Machine-op-inspct
54,Male,0,HS-grad,Sales
36,Male,1,HS-grad,Prof-specialty
23,Male,0,HS-grad,Transport-moving
35,Male,0,Some-college,Exec-managerial
43,Male,1,Some-college,Craft-repair
48,Male,0,Masters,Exec-managerial
55,Male,1,HS-grad,Farming-fishing
40,Male,0,11th,Transport-moving
66,Male,0,10th,Craft-repair
33,Male,0,Some-college,Handlers-cleaners
53,Male,0,Some-college,Farming-fishing
31,Male,0,Some-college,Exec-managerial
22,Female,0,Bachelors,Exec-managerial
31,Female,0,Bachelors,Prof-specialty
51,Male,1,Doctorate,Prof-specialty
29,Female,0,10th,Other-service
20,Male,0,Some-college,Farming-fishing
47,Female,0,7th-8th,Other-service
51,Male,1,Masters,Prof-specialty
31,Male,0,12th,Transport-moving
32,Female,1,Some-college,Prof-specialty
39,Male,1,Bachelors,Prof-specialty
29,Male,0,HS-grad,Craft-repair
24,Female,0,Bachelors,Prof-specialty
33,Male,1,Bachelors,Sales
41,Male,0,Bachelors,Exec-managerial
27,Male,0,HS-grad,Prof-specialty
60,Female,1,Bachelors,Exec-managerial
27,Male,0,10th,Craft-repair
37,Male,0,Some-college,Adm-clerical
39,Female,0,HS-grad,Sales
25,Male,0,Bachelors,Craft-repair
56,Male,0,HS-grad,Machine-op-inspct
32,Female,0,Some-college,Adm-clerical
37,Male,1,Bachelors,Craft-repair
33,Male,0,HS-grad,Transport-moving
36,Male,0,Some-college,Craft-repair
31,Female,0,Some-college,Other-service
21,Female,0,Some-college,Other-service
46,Male,0,HS-grad,Sales
48,Male,1,Bachelors,Exec-managerial
47,Male,0,Some-college,Craft-repair
29,Male,0,HS-grad,Other-service
40,Male,1,Bachelors,Sales
38,Female,0,Bachelors,Adm-clerical
47,Female,1,HS-grad,Exec-managerial
53,Male,1,Bachelors,Sales
65,Male,0,5th-6th,Farming-fishing
21,Female,0,Some-college,Other-service
35,Male,0,HS-grad,Farming-fishing
72,Female,0,HS-grad,Other-service
18,Male,0,HS-grad,Other-service
26,Male,0,Some-college,Adm-clerical
24,Female,0,Some-college,Sales
27,Male,0,HS-grad,Craft-repair
46,Male,1,HS-grad,Transport-moving
59,Male,0,Masters,Prof-specialty
31,Male,0,Some-college,Protective-serv
21,Female,0,HS-grad,Other-service
29,Female,0,HS-grad,Sales
27,Male,0,Some-college,Craft-repair
47,Female,0,10th,Sales
21,Female,0,Some-college,Other-service
50,Male,0,Some-college,Sales
46,Female,0,HS-grad,Adm-clerical
70,Male,1,Masters,Exec-managerial
18,Female,0,Some-college,Adm-clerical
35,Female,0,12th,Other-service
37,Male,1,Bachelors,Craft-repair
26,Male,0,Assoc-acdm,Other-service
30,Male,0,7th-8th,Farming-fishing
50,Male,1,Bachelors,Prof-specialty
39,Female,1,Prof-school,Prof-specialty
30,Male,0,HS-grad,Handlers-cleaners
42,Female,0,Some-college,Exec-managerial
24,Male,0,Some-college,Protective-serv
46,Female,1,Some-college,Exec-managerial
53,Male,0,HS-grad,Craft-repair
27,Male,0,Masters,Sales
23,Male,0,Some-college,Adm-clerical
