Age,Gender,Income,Education,Occupation
40-49,Male,Low,Bachelors,Protective-serv
20-29,Any,Low,Bachelors,Sales
30-39,Male,High,Bachelors,Craft-repair
30-39,Any,Low,Bachelors,Prof-specialty
30-39,Any,Low,HS-grad,Craft-repair
50-59,Male,Low,HS-grad,Farming-fishing
20-29,Any,Low,Masters,Prof-specialty
40-49,Any,Low,HS-grad,Other-service
20-29,Any,Low,Bachelors,Craft-repair
30-39,Male,Low,HS-grad,Exec-managerial
30-39,Male,Low,HS-grad,Craft-repair
10-19,Female,Low,12th,Adm-clerical
50-59,Female,Low,Some-college,Sales
30-39,Any,Low,Some-college,Exec-managerial
20-29,Male,High,Some-college,Protective-serv
20-29,Male,Low,Some-college,Sales
30-39,Male,High,Bachelors,Exec-managerial
40-49,Any,Low,HS-grad,Exec-managerial
40-49,Any,High,Some-college,Craft-repair
60-69,Male,Low,HS-grad,Protective-serv
40-49,Male,Low,Some-college,Handlers-cleaners
40-49,Male,High,Some-college,Craft-repair
30-39,Male,Low,Doctorate,Prof-specialty
30-39,Any,High,Some-college,Exec-managerial
40-49,Male,Low,Prof-school,Prof-specialty
40-49,Any,Low,HS-grad,Other-service
30-39,Any,Low,HS-grad,Transport-moving
20-29,Any,Low,HS-grad,Exec-managerial
20-29,Any,Low,HS-grad,Handlers-cleaners
20-29,Any,Low,HS-grad,Adm-clerical
40-49,Any,High,Some-college,Machine-op-inspct
60-69,Any,Low,5th-6th,Farming-fishing
40-49,Male,High,Assoc-acdm,Craft-repair
50-59,Male,High,HS-grad,Exec-managerial
50-59,Male,High,Some-college,Craft-repair
40-49,Any,Low,Assoc-acdm,Machine-op-inspct
60-69,Female,Low,Some-college,Sales
30-39,Male,High,HS-grad,Exec-managerial
20-29,Male,Low,HS-grad,Handlers-cleaners
30-39,Any,High,Bachelors,Exec-managerial
40-49,Male,Low,Assoc-acdm,Farming-fishing
40-49,Female,Low,Some-college,Handlers-cleaners
20-29,Any,Low,HS-grad,Craft-repair
20-29,Female,Low,Some-college,Sales
40-49,Any,High,Bachelors,Prof-specialty
40-49,Female,Low,Some-college,Adm-clerical
30-39,Male,Low,Masters,Protective-serv
90-99,Male,Low,HS-grad,Craft-repair
40-49,Male,Low,HS-grad,Craft-repair
60-69,Male,High,HS-grad,Other-service
40-49,Male,High,Masters,Prof-specialty
30-39,Male,High,Doctorate,Prof-specialty
50-59,Any,Low,HS-grad,Other-service
40-49,Male,High,Some-college,Protective-serv
20-29,Male,Low,Assoc-voc,Craft-repair
40-49,Male,High,Bachelors,Prof-specialty
30-39,Any,Low,Some-college,Machine-op-inspct
50-59,Male,Low,HS-grad,Sales
30-39,Male,High,HS-grad,Prof-specialty
20-29,Male,Low,HS-grad,Transport-moving
30-39,Any,Low,Some-college,Exec-managerial
40-49,Male,High,Some-college,Craft-repair
40-49,Any,Low,Masters,Exec-managerial
50-59,Male,High,HS-grad,Farming-fishing
40-49,Any,Low,11th,Transport-moving
60-69,Any,Low,10th,Craft-repair
30-39,Male,Low,Some-college,Handlers-cleaners
50-59,Male,Low,Some-college,Farming-fishing
30-39,Male,Low,Some-college,Exec-managerial
